,Link2 length,Link3 length,Link4 length,Link5 length,Link6 length,Success_Rates,Manipulability_Rates,Joint2 type_pitch,Joint2 type_pris,Joint2 type_roll,Joint3 type_pitch,Joint3 type_pris,Joint3 type_roll,Joint4 type_pitch,Joint4 type_pris,Joint4 type_roll,Joint5 type_pitch,Joint5 type_pris,Joint5 type_roll,Joint6 type_pitch,Joint6 type_pris,Joint6 type_roll,Joint2 axis_y,Joint2 axis_z,Joint3 axis_x,Joint3 axis_y,Joint3 axis_z,Joint4 axis_x,Joint4 axis_y,Joint4 axis_z,Joint5 axis_x,Joint5 axis_y,Joint5 axis_z,Joint6 axis_x,Joint6 axis_y,Joint6 axis_z,Configuration index
0,0.1,0.1,0.1,0.7,0.3,0.1,0.1077484545682243,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4552
1,0.1,0.1,0.1,0.7,0.5,0.6,0.1333373658705018,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4666
2,0.1,0.1,0.1,0.5,0.5,0.2,0.0078779445154922,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,4663
3,0.1,0.1,0.3,0.3,0.7,0.4,0.1383207249021143,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,4741
4,0.1,0.1,0.3,0.5,0.7,0.5,0.1817775192068294,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4885
5,0.1,0.1,0.3,0.3,0.5,0.5,0.014215635235455,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4881
6,0.1,0.1,0.3,0.5,0.5,0.5,8.738713901552631e-07,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,4670
7,0.1,0.1,0.3,0.3,0.7,0.5,0.0284384206156503,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4489
8,0.1,0.1,0.5,0.3,0.7,0.1,1.0032794069059813e-07,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4737
9,0.1,0.1,0.5,0.7,0.3,0.6,0.0246033730693062,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4883
10,0.1,0.1,0.5,0.7,0.3,0.7,1.4118716214086908e-07,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4810
11,0.1,0.1,0.5,0.7,0.5,0.5,0.0591977325248653,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,4882
12,0.1,0.1,0.5,0.7,0.3,0.1,0.0287171537679767,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4734
13,0.1,0.1,0.5,0.3,0.5,0.5,0.2951255154655129,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4669
14,0.1,0.1,0.7,0.1,0.3,0.5,0.0740710836163742,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4811
15,0.1,0.1,0.7,0.3,0.3,0.5,0.0744414518005528,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4739
16,0.1,0.1,0.7,0.3,0.5,0.5,1.0849435192062287e-07,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4884
17,0.1,0.1,0.7,0.7,0.3,0.3,1.7514110654655508e-07,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4737
18,0.1,0.1,0.7,0.1,0.3,0.4,0.108169362652791,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4551
19,0.1,0.1,0.7,0.3,0.7,0.3,0.1041616385318266,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,4548
20,0.1,0.1,0.7,0.5,0.3,0.7,6.053179346425654e-06,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4664
21,0.1,0.1,0.7,0.5,0.5,0.5,0.0322856422782633,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4490
22,0.1,0.1,0.7,0.5,0.5,0.5,3.695911571495219e-06,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4463
23,0.1,0.1,0.7,0.7,0.1,0.4,0.0931606997181402,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4462
24,0.1,0.1,0.1,0.5,0.5,0.5,0.0910546241914633,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,4879
25,0.1,0.1,0.1,0.5,0.5,0.3,0.1391972495502983,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4803
26,0.1,0.1,0.1,0.7,0.7,0.5,0.1186850053306479,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,4879
27,0.1,0.1,0.1,0.3,0.7,0.1,0.013761675098389,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,4726
28,0.1,0.1,0.3,0.1,0.7,0.5,0.0001475868203052,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,4655
29,0.1,0.1,0.5,0.3,0.5,0.3,0.3248640392675762,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4803
30,0.1,0.1,0.5,0.7,0.3,0.6,0.056253036541512,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4878
31,0.1,0.1,0.5,0.7,0.1,0.6,0.4141281693632297,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,4732
