,Arm_ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
910,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,1,4.4309680461883545,True,1.156,"[[ 0.00000000e+00  8.10678331e-01  3.51214578e-02  7.37162253e-01
  -4.32311789e-01]
 [ 1.00000000e+00  9.76828531e-01 -2.19794857e-02 -4.61326157e-01
   2.70546594e-01]
 [ 0.00000000e+00  0.00000000e+00  1.25810665e+00 -4.93730686e-01
   3.32525344e-03]
 [ 0.00000000e+00  0.00000000e+00 -5.30494793e-01  0.00000000e+00
  -5.30494793e-01]
 [ 0.00000000e+00  0.00000000e+00 -8.47688194e-01  0.00000000e+00
  -8.47688194e-01]
 [ 0.00000000e+00  1.00000000e+00 -1.82797066e-16  0.00000000e+00
   1.38777878e-16]]",[ 0.79839331  2.5824085  -0.5163746   0.66343012  2.08065077 -2.59180662],0.0,[0.001 0.084 0.003 0.1   0.055],0.1,0.158,0.243
911,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,2,1.6272830963134766,True,0.975,"[[ 0.00000000e+00  7.51347800e-01 -5.02706881e-02  7.25459087e-01
  -4.23577911e-01]
 [ 1.00000000e+00  8.17056663e-01  3.37086215e-02 -4.86450985e-01
   2.84026896e-01]
 [ 0.00000000e+00  0.00000000e+00  1.09706158e+00 -4.86903022e-01
   3.23659713e-03]
 [ 0.00000000e+00  0.00000000e+00 -5.56926697e-01  0.00000000e+00
  -5.56926697e-01]
 [ 0.00000000e+00  0.00000000e+00 -8.30561650e-01  0.00000000e+00
  -8.30561650e-01]
 [ 0.00000000e+00  1.00000000e+00 -3.73123255e-16  0.00000000e+00
  -5.55111512e-16]]",[ 0.76321046  2.55091174 -0.50854057  0.47425321  2.07299059 -2.5457553 ],0.0,[0.    0.082 0.003 0.016 0.054],0.054000000000000006,0.073,0.155
912,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,3,1.6087689399719238,True,1.036,"[[ 0.          0.80817317 -0.08464667  0.74936463 -0.42279231]
 [ 1.          0.89601738  0.05709071 -0.50541574  0.28515609]
 [ 0.          0.          1.19475103 -0.42779385  0.0057152 ]
 [ 0.          0.         -0.5591647   0.         -0.5591647 ]
 [ 0.          0.         -0.82905659  0.         -0.82905659]
 [ 0.          1.          0.          0.          0.        ]]",[ 0.8270725   2.54821472 -0.4420506   0.54922476  2.00164042 -2.55622382],0.0,[0.001 0.082 0.002 0.041 0.051],0.051,0.094,0.177
913,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,4,1.6153101921081543,True,0.8390000000000001,"[[ 0.00000000e+00  8.22445978e-01 -1.94180563e-01  7.14985332e-01
  -3.89603020e-01]
 [ 1.00000000e+00  7.11771836e-01  1.64021699e-01 -6.03938454e-01
   3.29092409e-01]
 [ 0.00000000e+00  0.00000000e+00  1.07446523e+00 -3.52213456e-01
  -2.76999127e-03]
 [ 0.00000000e+00  0.00000000e+00 -6.45288752e-01  0.00000000e+00
  -6.45288752e-01]
 [ 0.00000000e+00  0.00000000e+00 -7.63938759e-01  0.00000000e+00
  -7.63938759e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.31838984e-16]]",[ 0.80906499  2.44019145 -0.35993506  0.39830506  1.93616277 -2.43682913],0.0,[0.001 0.075 0.002 0.002 0.047],0.047,0.051,0.127
914,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,5,1.6212210655212402,True,1.069,"[[ 0.00000000e+00  7.86300499e-01 -2.53389272e-01  8.22381889e-01
  -4.36774900e-01]
 [ 1.00000000e+00  9.77247530e-01  1.52715830e-01 -4.95643451e-01
   2.63240985e-01]
 [ 0.00000000e+00  0.00000000e+00  1.24286774e+00 -2.79330626e-01
   5.64540411e-03]
 [ 0.00000000e+00  0.00000000e+00 -5.16190420e-01  0.00000000e+00
  -5.16190420e-01]
 [ 0.00000000e+00  0.00000000e+00 -8.56473847e-01  0.00000000e+00
  -8.56473847e-01]
 [ 0.00000000e+00  1.00000000e+00 -2.52735177e-17  0.00000000e+00
  -1.90748478e-16]]",[ 0.77462585  2.59919568 -0.28309692  0.54778411  1.8428236  -2.59010264],0.0,[0.    0.086 0.001 0.04  0.043],0.043,0.08399999999999999,0.16999999999999998
915,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,6,1.6282129287719729,True,0.9670000000000001,"[[ 0.00000000e+00  7.41820524e-01 -3.56944660e-01  8.34923588e-01
  -4.34694603e-01]
 [ 1.00000000e+00  8.85926778e-01  2.18998297e-01 -5.12255441e-01
   2.66700664e-01]
 [ 0.00000000e+00  0.00000000e+00  1.14306734e+00 -2.01238579e-01
   3.37006898e-03]
 [ 0.00000000e+00  0.00000000e+00 -5.22953897e-01  0.00000000e+00
  -5.22953897e-01]
 [ 0.00000000e+00  0.00000000e+00 -8.52360969e-01  0.00000000e+00
  -8.52360969e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   3.46944695e-18]]",[ 0.73935819  2.59127983 -0.2026222   0.43473805  1.7668105  -2.5958075 ],0.0,[0.    0.085 0.001 0.007 0.04 ],0.04,0.048,0.133
916,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,7,1.7066829204559326,True,0.7290000000000001,"[[ 0.          0.61807611 -0.42707231  0.83120952 -0.42963753]
 [ 1.          0.65287902  0.2730884  -0.53151111  0.27472871]
 [ 0.          0.          0.88301081 -0.16305423  0.00597694]
 [ 0.          0.         -0.53872075  0.         -0.53872075]
 [ 0.          0.         -0.8424844   0.         -0.8424844 ]
 [ 0.          1.          0.          0.          0.        ]]",[ 0.63120342  2.57267471 -0.16378553  0.1657931   1.7228621  -2.57710749],0.0,[0.003 0.084 0.    0.035 0.038],0.038,0.07300000000000001,0.16
917,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,8,1.610023021697998,True,0.976,"[[ 0.          0.6380194  -0.4948962   0.89323001 -0.45737997]
 [ 1.          0.91152836  0.24409134 -0.44055644  0.22558769]
 [ 0.          0.          1.09972346 -0.08972278  0.00370885]
 [ 0.          0.         -0.44234049  0.         -0.44234049]
 [ 0.          0.         -0.89684719  0.         -0.89684719]
 [ 0.          1.          0.          0.          0.        ]]",[ 0.625553    2.68338596 -0.0898436   0.38784093  1.65336761 -2.67566899],0.0,[0.003 0.091 0.    0.001 0.035],0.035,0.036000000000000004,0.13
918,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,9,1.5320398807525637,True,1.058,"[[ 0.00000000e+00  6.24492054e-01 -5.47943892e-01  9.14236653e-01
  -4.66701646e-01]
 [ 1.00000000e+00  9.98346496e-01  2.41395226e-01 -4.02764529e-01
   2.05604171e-01]
 [ 0.00000000e+00  0.00000000e+00  1.16538622e+00 -4.41823082e-02
   4.06179022e-03]
 [ 0.00000000e+00  0.00000000e+00 -4.03158219e-01  0.00000000e+00
  -4.03158219e-01]
 [ 0.00000000e+00  0.00000000e+00 -9.15130291e-01  0.00000000e+00
  -9.15130291e-01]
 [ 0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.21430643e-17]]",[ 0.62446909  2.72662731 -0.0441967   0.45626802  1.60702864 -2.72526155],0.0,[0.004 0.094 0.    0.012 0.033],0.033,0.045,0.14300000000000002
919,_roll_z_0_1_pitch_y_0_1_pris_x_0_7_pitch_y_0_5,10,1.8404948711395264,True,0.623,"[[ 0.          0.58351479 -0.49481044  0.81667317 -0.41720092]
 [ 1.          0.53622212  0.34782728 -0.57408086  0.29327162]
 [ 0.          0.          0.77424975 -0.05895845  0.00592849]
 [ 0.          0.         -0.57508125  0.         -0.57508125]
 [ 0.          0.         -0.8180963   0.         -0.8180963 ]
 [ 0.          1.          0.          0.          0.        ]]",[ 0.58210721  2.52888919 -0.05899266  0.06139156  1.61816424 -2.53528754],0.0,[0.006 0.081 0.    0.085 0.033],0.085,0.118,0.205
